code	text
139	vaktranetrAraRyagARqIvAni puMsi ca
140	awavI striyAm
141	lopaDaH
142	tUlopalatAlakusUlataralakambaladevalavfzalAH puMsi
143	SIlamUlamaNgalasAlakamalatalamusalakuRqalapalalamfRAlavAlanigalapalAlabiqAlaKilaSUlAH puMsi ca
144	SatAdiH saMKyA
145	SatAyutaprayutAH puMsi ca
146	lakzA kowiH striyAm
147	SaNkuH puMsi
148	sahasraH kvacit
149	mandvyacko'kartari
150	brahman puMsi ca
151	nAmaromaRI napuMsake
152	asanto dvyackaH
153	apsarAH striyAm
154	trAntaH
155	yAtrAmAtrABastrAdaMzwrAvaratrAH striyAmeva
156	BftrAmitraCAtraputramantravftrameQozwrAH puMsa
157	patrapAtrapavitrasUtracCatrAH puMsi ca
158	balakusumaSulbapattanaraRABiDAnAni
159	padmakamalotpalAni puMsi ca
160	AhavasaNgrAmO puMsi
161	AjiH striyAmeva
162	PalajAtiH
163	vfkzajAtiH striyAmeva
164	viyajjagatsakftSakanpfzatSakfdyakfdudaSvitaH
165	navanItAvatAnAnftAmftanimittavittacittapittavratarajatavfttapalitAni
166	SrAdDakuliSadEvapIWakuRqANkANgadaDisakTakzyAsyAspadAkASakaRvabIjAni
167	dEvaM puMsi ca
168	DAnyAjyasasyarUpyapaRyavarRyaDfzyahavyakavyakAvyasatyApatyamUlyaSikyakuqyamadyaharmyatUryasEnyAni
169	dvandvabarhaduHKabaqiSapicCabimbakuwumbakavacavaraSaravfndArakARi
170	akzamindriye
171	strIpuMsayoH
172	gomaRiyazwimuzwipAwalivastiSAlmalitruwimasimarIcayaH
173	mftyusIDukarkanDukizkukaRqureRavaH
174	guRavacanamukArAntaM napuMsakaM ca
175	apatyArTatadDite
176	puMnapuMsakayoH
177	GftaBUtamustakzvelitErAvatapustakabustalohitAH
178	SfNgArGanidAGodyamaSalyadfQAH
179	vajrakuYjakuTakUrcaprasTadarpArBArDarcadarBapucCAH
180	kabanDOzaDAyuDAntAH
181	daRqamaRqaKamaSamasEnDavapArSvAkASakuSakASANkuSakuliSAH
182	gfhamehadehapawwapawahAzwApadAmbudakakudASca .
183	aviSizwaliNgam
184	avyayaM katiyuzmadaH
185	zRAntA saNKyA
186	guRavacanaM ca
187	kftyASca
188	karaRADikaraRayorlyuw ca
189	sarvAdIni sarvanAmAni
